gender,source,tags,country
male,api,deep learning,India
male,api,deep learning,India
male,api,deep learning,United States
male,api,deep learning,
male,api,deep learning,United Kingdom
male,api,deep learning,
male,api,deep learning,Indonesia
male,api,deep learning,United Kingdom
male,api,deep learning,
male,api,deep learning,India
male,api,deep learning,United States
male,api,deep learning,Canada
female,api,deep learning,United States
male,api,deep learning,
male,api,deep learning,United States
male,api,deep learning,
male,api,deep learning,
male,api,deep learning,United States
male,api,deep learning,Germany
male,api,deep learning,France
male,api,deep learning,
male,api,deep learning,Germany
male,api,deep learning,India
male,api,deep learning,Australia
male,api,deep learning,
male,api,deep learning,
male,api,deep learning,Spain
,api,big data,China
male,api,big data,China
,api,big data,
male,api,big data,France
,api,big data,Liberia
female,api,big data,China
,api,big data,China
male,api,big data,
,api,big data,China
,api,big data,China
,api,big data,
,api,big data,China
male,api,big data,
,api,big data,
male,api,neural network,
male,api,neural network,Germany
male,api,neural network,
male,api,neural network,United States
male,api,neural network,Turkey
female,api,neural network,
male,api,neural network,
male,api,neural network,United States
male,api,neural network,
male,api,neural network,United States
male,api,neural network,United States
male,api,neural network,Germany
male,api,neural network,United Kingdom
male,api,neural network,
male,api,neural network,Romania
male,api,neural network,Russia
male,api,neural network,
male,api,neural network,Netherlands
male,api,neural network,Brazil
,api,neural network,
male,api,neural network,Taiwan
male,api,neural network,
male,api,neural network,Germany
male,api,neural network,
male,api,neural network,New Zealand
male,api,neural network,Singapore
male,api,neural network,
male,api,neural network,United States
male,api,neural network,United States
male,api,neural network,United States
male,api,neural network,United States
male,api,neural network,United Kingdom
male,api,neural network,
male,api,neural network,China
female,api,neural network,Japan
female,api,neural network,Brazil
female,api,neural network,United Kingdom
male,api,neural network,
female,api,neural network,United States
male,api,neural network,Israel
male,api,neural network,United States
male,api,neural network,China
male,api,neural network,Denmark
male,api,computer science,United States
male,api,computer science,Australia
,api,computer science,
male,api,computer science,India
male,api,computer science,United Kingdom
male,api,computer science,China
male,api,computer science,
male,api,computer science,Serbia
male,api,computer science,Canada
male,api,computer science,Russia
male,api,computer science,Algeria
female,api,computer science,France
male,api,computer science,
male,api,computer science,United States
male,api,computer science,
female,api,computer science,Sweden
male,api,computer science,United States
male,api,computer science,India
male,api,computer science,Indonesia
female,api,computer science,United States
male,api,computer science,South Africa
male,api,computer science,France
male,api,computer science,
male,api,computer science,India
male,api,computer science,United States
male,api,computer science,
female,api,computer science,
male,api,computer science,India
male,api,computer science,United States
male,api,computer science,Germany
male,api,computer science,India
male,api,computer science,Switzerland
male,api,computer science,United States
male,api,computer science,Brazil
male,api,computer science,
male,api,computer science,Russia
male,api,computer science,India
male,api,computer science,United States
male,api,computer science,Germany
male,api,computer science,United States
female,api,computer science,China
male,api,computer science,
male,api,computer science,
male,api,computer science,
male,api,computer science,Brazil
male,api,computer science,
female,api,computer science,China
male,api,computer science,Armenia
male,api,computer science,
male,api,computer science,Germany
male,api,computer science,Indonesia
male,api,computer science,Vietnam
male,api,computer science,Bulgaria
male,api,computer science,Italy
female,api,computer science,
male,api,computer science,Bangladesh
male,api,computer science,South Korea
male,api,computer science,Taiwan
male,api,computer science,India
female,api,computer science,China
male,api,computer science,Brazil
male,api,computer science,Germany
male,api,computer science,
male,api,computer science,Germany
male,api,computer science,Poland
male,api,computer science,Poland
male,api,computer science,Indonesia
male,api,computer science,
male,api,computer science,Japan
male,api,computer science,
male,api,computer science,Indonesia
male,api,computer science,India
male,api,computer science,United States
male,api,computer science,United States
male,api,computer science,United States
male,api,computer science,United States
male,api,computer science,France
,api,computer science,China
,api,computer science,Singapore
,api,computer science,Malawi
male,api,computer science,
male,api,computer science,
,api,computer science,
male,api,blockchain,United States
male,api,blockchain,Switzerland
male,api,blockchain,
,api,blockchain,
male,api,blockchain,Romania
male,api,blockchain,Hungary
male,api,blockchain,New Zealand
male,api,blockchain,Japan
male,api,blockchain,
,api,blockchain,
,api,blockchain,
,api,blockchain,China
,api,blockchain,China
male,api,blockchain,China
,api,blockchain,
male,api,blockchain,Japan
male,api,blockchain,
,api,blockchain,
,api,blockchain,Pakistan
male,api,blockchain,China
male,api,blockchain,
male,api,blockchain,
male,api,blockchain,United States
male,api,blockchain,United States
male,api,blockchain,Sweden
male,api,blockchain,United States
male,api,blockchain,
male,api,blockchain,United States
male,api,blockchain,
male,api,blockchain,Israel
male,api,blockchain,
male,api,blockchain,United States
male,api,blockchain,
male,api,blockchain,
male,api,blockchain,Slovakia
male,api,blockchain,United States
male,api,blockchain,Slovenia
male,api,blockchain,United States
,api,blockchain,
male,api,blockchain,
male,api,blockchain,United States
female,api,blockchain,Japan
male,api,blockchain,United States
male,api,blockchain,United States
male,api,blockchain,Netherlands
female,api,cloud computing,United States
