Établissement,Académie de l’établissement,Région de l'établissement,Filière de formation,Effectif total des candidats pour une formation,Dont effectif des candidates pour une formation,Effectif total des candidats ayant accepté la proposition de l’établissement (admis),Dont effectif des candidates admises,Dont effectif des admis issus du même établissement,Dont effectif des admis issus de la même académie,% d’admis dont filles,Dont effectif des candidats garçons pour une formation,% des candidates pour une formation,Dont effectif des candidats garçons admis,% admis meme academie,% admis meme établissement
Université Paris Nanterre,Versailles,Île-de-France,Systèmes d’Information fiables et intelligence des données,582,251,7,1,6,6,14.3,331,43.1,6,85.7,85.7
Université Paris-Saclay,Versailles,Île-de-France,M1 Bio-informatique et biostatistiques #PR602,472,283,22,10,7,10,45.5,189,60.0,12,45.5,31.8
Université Paris 8 - Vincennes - Saint-Denis,Créteil,Île-de-France,Informatique et Big Data,397,135,24,10,0,4,41.7,262,34.0,14,16.7,0.0
CY Cergy Paris Université,Versailles,Île-de-France,Professeur des lycées et des collèges (CAPES) : numérique et sciences informatiques,56,18,15,5,4,5,33.3,38,32.1,10,33.3,26.7
Université Paris 8 - Vincennes - Saint-Denis,Créteil,Île-de-France,Cybersécurité et sciences des données,233,63,10,5,2,3,50.0,170,27.0,5,30.0,20.0
Université Paris 8 - Vincennes - Saint-Denis,Créteil,Île-de-France,Cybersécurité et sciences des données,282,78,8,3,0,1,37.5,204,27.7,5,12.5,0.0
Université Grenoble Alpes,Grenoble,Auvergne-Rhône-Alpes,Acquisition et Traitement de Données Multi-dimensionnelles,43,15,11,1,6,6,9.1,28,34.9,10,54.5,54.5
Université Grenoble Alpes,Grenoble,Auvergne-Rhône-Alpes,Double Compétence : Informatique et Science Sociales,119,52,8,2,2,2,25.0,67,43.7,6,25.0,25.0
Université Grenoble Alpes,Grenoble,Auvergne-Rhône-Alpes,Informatique et Cognition,123,48,20,3,18,18,15.0,75,39.0,17,90.0,90.0
Université de Pau et des Pays de l'Adour,Bordeaux,Nouvelle-Aquitaine,Mathématiques et Informatique pour le Big Data (MIBD),103,29,6,3,4,4,50.0,74,28.2,3,66.7,66.7
Université Jean Monnet,Lyon,Auvergne-Rhône-Alpes,Données et Sytèmes Connectés (DSC),285,69,18,1,7,11,5.6,216,24.2,17,61.1,38.9
Université Toulouse - Jean Jaurès,Toulouse,Occitanie,"Réseaux et sociétés : données, méthodes, analyses (RESO)",120,66,18,6,9,9,33.3,54,55.0,12,50.0,50.0
Université de Bordeaux,Bordeaux,Nouvelle-Aquitaine,"Recherche opérationnelle, Optimisation, Algorithmes et Données",191,56,13,6,9,9,46.2,135,29.3,7,69.2,69.2
Université Toulouse III - Paul Sabatier,Toulouse,Occitanie,Ingénierie des Données et Protection (IDP),315,118,14,7,11,11,50.0,197,37.5,7,78.6,78.6
Université de Pau et des Pays de l'Adour,Bordeaux,Nouvelle-Aquitaine,Systèmes Informatiques pour le Génie de la Logistique Industrielle et des Services (SIGLIS),108,19,5,0,3,3,0.0,89,17.6,5,60.0,60.0
Université Grenoble Alpes,Grenoble,Auvergne-Rhône-Alpes,"Métiers de l'enseignement, de l'éducation et de la formation 2nd degré - Numérique et sciences informatiques",40,12,8,4,5,6,50.0,28,30.0,4,75.0,62.5
Université de Bordeaux,Bordeaux,Nouvelle-Aquitaine,Informatique,1690,319,116,15,82,83,12.9,1371,18.9,101,71.6,70.7
Nantes Université,Nantes,Pays de la Loire,Bioinformatique - Biostatistique,276,149,38,17,10,10,44.7,127,54.0,21,26.3,26.3
Le Mans Université,Nantes,Pays de la Loire,Intelligence artificielle,498,95,16,4,13,13,25.0,403,19.1,12,81.2,81.2
Université de Franche-Comté,Besançon,Bourgogne-Franche-Comté,Informatique avancée et applications (à distance),199,54,26,10,11,11,38.5,145,27.1,16,42.3,42.3
Université de Bretagne Occidentale,Rennes,Bretagne,"ILIADE - Ingénierie du Logiciel, Applications aux Données Environnementales",250,39,19,5,19,19,26.3,211,15.6,14,100.0,100.0
Université de Rennes,Rennes,Bretagne,Méthodes informatiques appliquées à la gestion des entreprises - MIAGE Parcours classique,307,107,8,3,8,8,37.5,200,34.9,5,100.0,100.0
Université de Caen Normandie,Normandie,Normandie,"Intelligence artificielle,  sciences des données et santé",239,54,20,4,11,11,20.0,185,22.6,16,55.0,55.0
Université de Reims Champagne-Ardenne,Reims,Grand Est,Intelligence artificielle,398,87,11,2,6,6,18.2,311,21.9,9,54.5,54.5
Université d'Orléans,Orléans-Tours,Centre-Val de Loire,"Applications Réparties, Intelligence Artificielle et Sécurité (ARIAS)",511,114,36,3,27,30,8.3,397,22.3,33,83.3,75.0
Université Côte d'Azur,Nice,Provence-Alpes-Côte d'Azur,Informatique,795,185,31,7,27,27,22.6,610,23.3,24,87.1,87.1
Université de Strasbourg,Strasbourg,Grand Est,Recherche en biomédecine et sciences des données,34,25,2,1,1,1,50.0,9,73.5,1,50.0,50.0
