Établissement,Académie de l’établissement,Région de l'établissement,Filière de formation,Effectif total des candidats pour une formation,Dont effectif des candidates pour une formation,Effectif total des candidats ayant accepté la proposition de l’établissement (admis),Dont effectif des candidates admises,Dont effectif des admis issus du même établissement,Dont effectif des admis issus de la même académie,% d’admis dont filles,Dont effectif des candidats garçons pour une formation,% des candidates pour une formation,Dont effectif des candidats garçons admis,% admis meme academie,% admis meme établissement
Université de Strasbourg,Strasbourg,Grand Est,"Automatique, signal, informatique",89,40,31,16,30,30,51.6,49,44.9,15,96.8,96.8
Université de Strasbourg,Strasbourg,Grand Est,Droit de la propriété intellectuelle et sciences des données,76,50,5,2,5,5,40.0,26,65.8,3,100.0,100.0
Université de Strasbourg,Strasbourg,Grand Est,Droit et gouvernance des données de santé,75,55,7,4,5,5,57.1,20,73.3,3,71.4,71.4
Aix-Marseille Université,Aix-Marseille,Provence-Alpes-Côte d'Azur,Informatique et mathématiques discrètes (IMD),108,31,8,0,8,8,0.0,77,28.7,8,100.0,100.0
Université de Picardie Jules-Verne,Amiens,Hauts-de-France,INFORMATIQUE - CLOUD COMPUTING AND MOBILITY (INSSET),182,26,9,0,7,0,0.0,156,14.3,9,0.0,77.8
Université Paris-Est Créteil,Créteil,Île-de-France,"Double-diplôme Master Méthodes appliquées de la statistique et de l'économétrie pour la recherche, l'analyse et le traitement d'information (MASERATI) - Data Science & DU  Graduate Program Intelligence Artificielle - GP IA",124,51,5,3,4,4,60.0,73,41.1,2,80.0,80.0
Université de Strasbourg,Strasbourg,Grand Est,Sciences du langage et sciences des données,32,21,3,2,1,1,66.7,11,65.6,1,33.3,33.3
Institut catholique de Lille,Lille,Hauts-de-France,"Data & IA / Ecole Du Numérique / Faculté de Gestion, Economie & Sciences",234,60,21,3,2,13,14.3,174,25.6,18,61.9,9.5
Université du Littoral Côte d’Opale,Lille,Hauts-de-France,Web et Science de Données (WeSciD),265,50,17,0,14,15,0.0,215,18.9,17,88.2,82.4
École nationale supérieure de formation de l’enseignement agricole,Toulouse,Occitanie,Technologie informatique et multimédia (TIM),6,1,1,0,0,1,0.0,5,16.7,1,100.0,0.0
Avignon Université,Aix-Marseille,Provence-Alpes-Côte d'Azur,Gouvernance des données,68,30,19,7,8,9,36.8,38,44.1,12,47.4,42.1
